feature_id,ensembl_id,gene_symbol
ENSG00000042286,ENSG00000042286,AIFM2
ENSG00000042317,ENSG00000042317,SPATA7
ENSG00000042429,ENSG00000042429,MED17
ENSG00000042445,ENSG00000042445,RETSAT
ENSG00000042493,ENSG00000042493,CAPG
ENSG00000042753,ENSG00000042753,AP2S1
ENSG00000042832,ENSG00000042832,TG
ENSG00000042980,ENSG00000042980,ADAM28
ENSG00000043039,ENSG00000043039,BARX2
ENSG00000043093,ENSG00000043093,DCUN1D1
ENSG00000043143,ENSG00000043143,JADE2
ENSG00000043355,ENSG00000043355,ZIC2
ENSG00000043462,ENSG00000043462,LCP2
ENSG00000043514,ENSG00000043514,TRIT1
ENSG00000043591,ENSG00000043591,ADRB1
ENSG00000044090,ENSG00000044090,CUL7
ENSG00000044115,ENSG00000044115,CTNNA1
ENSG00000044446,ENSG00000044446,PHKA2
ENSG00000044459,ENSG00000044459,CNTLN
ENSG00000044524,ENSG00000044524,EPHA3
ENSG00000044574,ENSG00000044574,HSPA5
ENSG00000046604,ENSG00000046604,DSG2
ENSG00000046647,ENSG00000046647,GEMIN8
ENSG00000046651,ENSG00000046651,OFD1
ENSG00000046653,ENSG00000046653,GPM6B
ENSG00000046889,ENSG00000046889,PREX2
