source,outcome_pair,reference,primary,metric,target_mean_statistic,within_draw_mean,within_draw_p025,within_draw_p975,target_count,draw_count,target_mean_aggregation,within_draw_aggregation,interval_type
papalexi2021_rep2,papalexi2021_rep1__papalexi2021_rep3,different_guide_identities,False,random_order_expected_auc,0.648952205882353,0.6489522058823529,0.5420955882352941,0.7410845588235293,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,rho_T,0.6838235294117648,0.5970853181712905,0.2752860512640664,0.8299533575349068,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,rho_G,0.6511343958381575,0.5904891038213984,0.280429668952702,0.8297933782121406,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,delta_rho,-0.032689133573607365,-0.006596214349892239,-0.3575567032688999,0.31572866378395353,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,coverage_auc_T,0.8012714670199802,0.783130592815549,0.6984196521362834,0.8534281552914298,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,coverage_auc_G,0.799942903579744,0.783292448245488,0.7063252768450852,0.8474593778249636,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,delta_coverage_auc,-0.0013285634402362412,0.00016185542993906731,-0.06895821702806994,0.06969551932442548,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,same_identity_disjoint_cells,False,random_order_expected_auc,0.6385661764705881,0.6385661764705882,0.5549632352941177,0.7326746323529412,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,rho_T,0.698529411764706,0.5917054769965757,0.2962602425611621,0.8046656391064841,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,rho_G,0.6887254901960785,0.5942386116447842,0.29847534638824635,0.8326123742689936,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,delta_rho,-0.009803921568627416,0.002533134648208476,-0.32775615960333404,0.3269695683711705,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,coverage_auc_T,0.8017433099238085,0.7817101028497007,0.6759016559090899,0.8555564826819422,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,coverage_auc_G,0.8012383780195199,0.7839217625135663,0.6811673982863362,0.8524881232064204,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,delta_coverage_auc,-0.0005049319042885747,0.002211659663865555,-0.07360042601138642,0.07644071144932811,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
papalexi2021_rep3,papalexi2021_rep1__papalexi2021_rep2,different_guide_identities,False,random_order_expected_auc,0.6385661764705881,0.6385661764705882,0.5549632352941177,0.7326746323529412,17,100,"mean ranks per target across draws, then metric across targets","metric across targets separately in each draw, then summarize draws","conditional 2.5th-97.5th percentile draw range, not a confidence interval"
